[2024-02-06 05:40:07,814]-[INFO]-#Producer Script Started
[2024-02-06 05:40:07,817]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: connecting to localhost:9092 [('127.0.0.1', 9092) IPv4]
[2024-02-06 05:40:07,818]-[INFO]-#Probing node bootstrap-0 broker version
[2024-02-06 05:40:07,818]-[INFO]-#<BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: Connection complete.
[2024-02-06 05:40:07,926]-[INFO]-#Broker version identified as 2.5.0
[2024-02-06 05:40:07,927]-[INFO]-#Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-02-06 05:40:07,931]-[INFO]-#Producer connected to Server
[2024-02-06 05:40:12,936]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -11.69, 'wind_speed': 8.43, 'humidity': 35.23}, {'city': 'Vancouver', 'temperature': -6.17, 'wind_speed': 31.81, 'humidity': 75.39}]
[2024-02-06 05:41:28,052]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 29.89, 'wind_speed': 1.72, 'humidity': 56.18}, {'city': 'Vancouver', 'temperature': 1.79, 'wind_speed': 26.51, 'humidity': 78.34}]
[2024-02-06 05:41:33,060]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 11.73, 'wind_speed': 37.15, 'humidity': 59.29}, {'city': 'Vancouver', 'temperature': 6.88, 'wind_speed': 41.04, 'humidity': 46.88}]
[2024-02-06 05:41:38,064]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -17.61, 'wind_speed': 8.01, 'humidity': 78.27}, {'city': 'Vancouver', 'temperature': 14.52, 'wind_speed': 39.48, 'humidity': 89.26}]
[2024-02-06 05:41:43,076]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -12.11, 'wind_speed': 2.13, 'humidity': 20.85}, {'city': 'Vancouver', 'temperature': -7.73, 'wind_speed': 5.88, 'humidity': 69.59}]
[2024-02-06 05:41:48,082]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 14.27, 'wind_speed': 37.43, 'humidity': 52.39}, {'city': 'Vancouver', 'temperature': -3.62, 'wind_speed': 8.0, 'humidity': 91.54}]
[2024-02-06 05:41:53,086]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -28.87, 'wind_speed': 24.32, 'humidity': 79.36}, {'city': 'Vancouver', 'temperature': 18.74, 'wind_speed': 14.21, 'humidity': 69.98}]
[2024-02-06 05:41:58,096]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -1.14, 'wind_speed': 20.04, 'humidity': 22.93}, {'city': 'Vancouver', 'temperature': 16.58, 'wind_speed': 28.41, 'humidity': 77.97}]
[2024-02-06 05:42:03,108]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -28.1, 'wind_speed': 44.95, 'humidity': 39.19}, {'city': 'Vancouver', 'temperature': -4.96, 'wind_speed': 32.28, 'humidity': 62.31}]
[2024-02-06 05:42:08,112]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -24.36, 'wind_speed': 22.7, 'humidity': 65.13}, {'city': 'Vancouver', 'temperature': 18.57, 'wind_speed': 0.76, 'humidity': 43.95}]
[2024-02-06 05:42:13,124]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 23.72, 'wind_speed': 21.63, 'humidity': 35.02}, {'city': 'Vancouver', 'temperature': 0.17, 'wind_speed': 22.16, 'humidity': 59.27}]
[2024-02-06 05:42:18,136]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -26.75, 'wind_speed': 2.53, 'humidity': 22.69}, {'city': 'Vancouver', 'temperature': -5.89, 'wind_speed': 15.06, 'humidity': 91.98}]
[2024-02-06 05:42:23,140]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 22.87, 'wind_speed': 0.94, 'humidity': 59.84}, {'city': 'Vancouver', 'temperature': -8.69, 'wind_speed': 8.74, 'humidity': 48.67}]
[2024-02-06 05:42:28,144]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -8.9, 'wind_speed': 15.17, 'humidity': 65.93}, {'city': 'Vancouver', 'temperature': 6.85, 'wind_speed': 13.32, 'humidity': 56.46}]
[2024-02-06 05:42:33,148]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -3.04, 'wind_speed': 22.62, 'humidity': 65.56}, {'city': 'Vancouver', 'temperature': 15.59, 'wind_speed': 44.16, 'humidity': 48.2}]
[2024-02-06 05:42:38,152]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -4.66, 'wind_speed': 44.26, 'humidity': 34.92}, {'city': 'Vancouver', 'temperature': 15.26, 'wind_speed': 49.11, 'humidity': 61.09}]
[2024-02-06 05:42:43,159]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 8.02, 'wind_speed': 14.61, 'humidity': 43.52}, {'city': 'Vancouver', 'temperature': -8.67, 'wind_speed': 6.05, 'humidity': 67.93}]
[2024-02-06 05:42:48,164]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 29.6, 'wind_speed': 25.1, 'humidity': 62.49}, {'city': 'Vancouver', 'temperature': 7.5, 'wind_speed': 32.16, 'humidity': 41.32}]
[2024-02-06 05:42:53,168]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 29.46, 'wind_speed': 0.24, 'humidity': 34.82}, {'city': 'Vancouver', 'temperature': 18.52, 'wind_speed': 43.81, 'humidity': 32.85}]
[2024-02-06 05:42:58,176]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 29.4, 'wind_speed': 0.93, 'humidity': 40.52}, {'city': 'Vancouver', 'temperature': 23.58, 'wind_speed': 21.07, 'humidity': 87.08}]
[2024-02-06 05:43:03,180]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 13.35, 'wind_speed': 31.96, 'humidity': 62.19}, {'city': 'Vancouver', 'temperature': -8.91, 'wind_speed': 10.23, 'humidity': 51.89}]
[2024-02-06 05:43:08,192]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -21.67, 'wind_speed': 23.9, 'humidity': 66.08}, {'city': 'Vancouver', 'temperature': -5.94, 'wind_speed': 28.64, 'humidity': 81.32}]
[2024-02-06 05:43:13,200]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 0.65, 'wind_speed': 9.07, 'humidity': 37.97}, {'city': 'Vancouver', 'temperature': 9.46, 'wind_speed': 40.05, 'humidity': 71.23}]
[2024-02-06 05:43:18,209]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 22.19, 'wind_speed': 4.03, 'humidity': 64.04}, {'city': 'Vancouver', 'temperature': -2.18, 'wind_speed': 47.53, 'humidity': 90.81}]
[2024-02-06 05:43:23,212]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 25.73, 'wind_speed': 27.27, 'humidity': 23.86}, {'city': 'Vancouver', 'temperature': -4.88, 'wind_speed': 9.46, 'humidity': 97.38}]
[2024-02-06 05:43:28,221]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -25.48, 'wind_speed': 29.63, 'humidity': 40.65}, {'city': 'Vancouver', 'temperature': 19.5, 'wind_speed': 0.41, 'humidity': 67.71}]
[2024-02-06 05:43:33,224]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -3.88, 'wind_speed': 3.04, 'humidity': 64.83}, {'city': 'Vancouver', 'temperature': 3.36, 'wind_speed': 22.76, 'humidity': 94.19}]
[2024-02-06 05:43:38,228]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 17.17, 'wind_speed': 47.58, 'humidity': 50.93}, {'city': 'Vancouver', 'temperature': 21.44, 'wind_speed': 37.05, 'humidity': 71.21}]
[2024-02-06 05:43:43,232]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -24.85, 'wind_speed': 0.74, 'humidity': 38.72}, {'city': 'Vancouver', 'temperature': -6.42, 'wind_speed': 36.79, 'humidity': 60.76}]
[2024-02-06 05:43:48,236]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 9.04, 'wind_speed': 31.41, 'humidity': 74.07}, {'city': 'Vancouver', 'temperature': 24.84, 'wind_speed': 1.25, 'humidity': 75.83}]
[2024-02-06 05:43:53,248]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 12.4, 'wind_speed': 19.93, 'humidity': 44.28}, {'city': 'Vancouver', 'temperature': 13.16, 'wind_speed': 44.91, 'humidity': 77.42}]
[2024-02-06 05:43:58,252]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 12.09, 'wind_speed': 22.25, 'humidity': 22.68}, {'city': 'Vancouver', 'temperature': -2.01, 'wind_speed': 22.06, 'humidity': 80.37}]
[2024-02-06 05:44:03,256]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 18.03, 'wind_speed': 49.38, 'humidity': 39.1}, {'city': 'Vancouver', 'temperature': -1.69, 'wind_speed': 11.37, 'humidity': 72.91}]
[2024-02-06 05:44:08,260]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 28.63, 'wind_speed': 23.45, 'humidity': 38.15}, {'city': 'Vancouver', 'temperature': 7.75, 'wind_speed': 2.85, 'humidity': 30.79}]
[2024-02-06 05:44:13,265]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 26.85, 'wind_speed': 13.82, 'humidity': 38.24}, {'city': 'Vancouver', 'temperature': -0.46, 'wind_speed': 39.34, 'humidity': 56.44}]
[2024-02-06 05:44:18,276]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 4.08, 'wind_speed': 29.57, 'humidity': 55.78}, {'city': 'Vancouver', 'temperature': 2.87, 'wind_speed': 22.92, 'humidity': 77.84}]
[2024-02-06 05:44:23,280]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -11.13, 'wind_speed': 25.92, 'humidity': 44.85}, {'city': 'Vancouver', 'temperature': 6.6, 'wind_speed': 22.96, 'humidity': 42.25}]
[2024-02-06 05:44:28,292]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -13.94, 'wind_speed': 15.68, 'humidity': 42.6}, {'city': 'Vancouver', 'temperature': -0.18, 'wind_speed': 8.29, 'humidity': 41.58}]
[2024-02-06 05:44:33,296]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -8.84, 'wind_speed': 8.42, 'humidity': 57.36}, {'city': 'Vancouver', 'temperature': 14.42, 'wind_speed': 35.23, 'humidity': 71.92}]
[2024-02-06 05:44:38,300]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 8.58, 'wind_speed': 43.17, 'humidity': 61.19}, {'city': 'Vancouver', 'temperature': -7.47, 'wind_speed': 36.17, 'humidity': 46.69}]
[2024-02-06 05:44:43,304]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -18.89, 'wind_speed': 23.66, 'humidity': 67.3}, {'city': 'Vancouver', 'temperature': -5.04, 'wind_speed': 25.12, 'humidity': 43.32}]
[2024-02-06 05:44:48,308]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -22.66, 'wind_speed': 13.26, 'humidity': 31.92}, {'city': 'Vancouver', 'temperature': 19.37, 'wind_speed': 19.65, 'humidity': 84.13}]
[2024-02-06 05:44:53,312]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -21.57, 'wind_speed': 16.89, 'humidity': 20.45}, {'city': 'Vancouver', 'temperature': -4.05, 'wind_speed': 3.49, 'humidity': 63.32}]
[2024-02-06 05:44:58,316]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -6.74, 'wind_speed': 15.41, 'humidity': 48.5}, {'city': 'Vancouver', 'temperature': 7.37, 'wind_speed': 31.61, 'humidity': 82.23}]
[2024-02-06 05:45:03,320]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 12.69, 'wind_speed': 49.86, 'humidity': 65.41}, {'city': 'Vancouver', 'temperature': 20.9, 'wind_speed': 30.54, 'humidity': 31.37}]
[2024-02-06 05:45:08,336]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -16.21, 'wind_speed': 20.83, 'humidity': 67.89}, {'city': 'Vancouver', 'temperature': -1.31, 'wind_speed': 32.18, 'humidity': 85.46}]
[2024-02-06 05:45:13,340]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 5.79, 'wind_speed': 36.18, 'humidity': 62.15}, {'city': 'Vancouver', 'temperature': 16.67, 'wind_speed': 16.73, 'humidity': 36.52}]
[2024-02-06 05:45:18,344]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -29.03, 'wind_speed': 39.71, 'humidity': 44.9}, {'city': 'Vancouver', 'temperature': 20.37, 'wind_speed': 35.27, 'humidity': 64.74}]
[2024-02-06 05:45:23,348]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -25.87, 'wind_speed': 4.09, 'humidity': 64.94}, {'city': 'Vancouver', 'temperature': -4.26, 'wind_speed': 49.39, 'humidity': 98.17}]
[2024-02-06 05:45:28,352]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -9.76, 'wind_speed': 19.82, 'humidity': 26.04}, {'city': 'Vancouver', 'temperature': 5.22, 'wind_speed': 36.56, 'humidity': 50.35}]
[2024-02-06 05:45:33,356]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -2.02, 'wind_speed': 7.76, 'humidity': 28.93}, {'city': 'Vancouver', 'temperature': 1.99, 'wind_speed': 25.91, 'humidity': 52.97}]
[2024-02-06 05:45:38,360]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -4.27, 'wind_speed': 11.85, 'humidity': 52.46}, {'city': 'Vancouver', 'temperature': 8.8, 'wind_speed': 4.42, 'humidity': 95.87}]
[2024-02-06 05:45:43,366]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 9.99, 'wind_speed': 0.19, 'humidity': 24.71}, {'city': 'Vancouver', 'temperature': -5.91, 'wind_speed': 3.71, 'humidity': 42.08}]
[2024-02-06 05:45:48,373]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -8.28, 'wind_speed': 10.88, 'humidity': 23.24}, {'city': 'Vancouver', 'temperature': -1.13, 'wind_speed': 48.84, 'humidity': 50.52}]
[2024-02-06 05:45:53,380]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 19.09, 'wind_speed': 0.13, 'humidity': 68.24}, {'city': 'Vancouver', 'temperature': 17.48, 'wind_speed': 25.24, 'humidity': 47.83}]
[2024-02-06 05:45:58,386]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 7.17, 'wind_speed': 0.11, 'humidity': 36.55}, {'city': 'Vancouver', 'temperature': -5.46, 'wind_speed': 10.19, 'humidity': 36.6}]
[2024-02-06 05:46:03,388]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -9.08, 'wind_speed': 3.99, 'humidity': 71.64}, {'city': 'Vancouver', 'temperature': 23.43, 'wind_speed': 21.74, 'humidity': 30.56}]
[2024-02-06 05:46:08,400]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -21.53, 'wind_speed': 14.06, 'humidity': 61.24}, {'city': 'Vancouver', 'temperature': 13.63, 'wind_speed': 2.67, 'humidity': 63.27}]
[2024-02-06 05:46:13,404]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -0.99, 'wind_speed': 20.3, 'humidity': 36.07}, {'city': 'Vancouver', 'temperature': -3.42, 'wind_speed': 30.76, 'humidity': 81.61}]
[2024-02-06 05:46:18,416]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 9.73, 'wind_speed': 8.98, 'humidity': 50.56}, {'city': 'Vancouver', 'temperature': 16.07, 'wind_speed': 33.79, 'humidity': 44.64}]
[2024-02-06 05:46:23,420]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -24.73, 'wind_speed': 47.1, 'humidity': 48.89}, {'city': 'Vancouver', 'temperature': 10.62, 'wind_speed': 39.41, 'humidity': 86.49}]
[2024-02-06 05:46:28,426]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -8.82, 'wind_speed': 10.14, 'humidity': 71.53}, {'city': 'Vancouver', 'temperature': 21.61, 'wind_speed': 23.05, 'humidity': 45.87}]
[2024-02-06 05:46:33,432]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 1.57, 'wind_speed': 18.79, 'humidity': 63.14}, {'city': 'Vancouver', 'temperature': 7.06, 'wind_speed': 20.78, 'humidity': 33.08}]
[2024-02-06 05:46:38,436]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 11.83, 'wind_speed': 46.75, 'humidity': 57.64}, {'city': 'Vancouver', 'temperature': -2.12, 'wind_speed': 27.36, 'humidity': 53.44}]
[2024-02-06 05:46:43,452]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 6.6, 'wind_speed': 11.2, 'humidity': 21.03}, {'city': 'Vancouver', 'temperature': 10.88, 'wind_speed': 36.11, 'humidity': 41.3}]
[2024-02-06 05:46:48,456]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -24.42, 'wind_speed': 47.17, 'humidity': 36.66}, {'city': 'Vancouver', 'temperature': 15.89, 'wind_speed': 41.11, 'humidity': 60.98}]
[2024-02-06 05:46:53,461]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 11.19, 'wind_speed': 34.89, 'humidity': 46.68}, {'city': 'Vancouver', 'temperature': -7.59, 'wind_speed': 11.3, 'humidity': 69.34}]
[2024-02-06 05:46:58,472]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -2.6, 'wind_speed': 5.14, 'humidity': 25.16}, {'city': 'Vancouver', 'temperature': 22.25, 'wind_speed': 48.16, 'humidity': 42.27}]
[2024-02-06 05:47:03,476]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 13.75, 'wind_speed': 37.19, 'humidity': 52.59}, {'city': 'Vancouver', 'temperature': -1.12, 'wind_speed': 5.11, 'humidity': 62.9}]
[2024-02-06 05:47:08,481]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 2.41, 'wind_speed': 9.91, 'humidity': 30.69}, {'city': 'Vancouver', 'temperature': 7.68, 'wind_speed': 29.15, 'humidity': 73.35}]
[2024-02-06 05:47:13,484]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 20.78, 'wind_speed': 11.08, 'humidity': 78.38}, {'city': 'Vancouver', 'temperature': 11.68, 'wind_speed': 40.99, 'humidity': 98.35}]
[2024-02-06 05:47:18,488]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 3.18, 'wind_speed': 36.3, 'humidity': 28.91}, {'city': 'Vancouver', 'temperature': -2.66, 'wind_speed': 3.33, 'humidity': 53.71}]
[2024-02-06 05:47:23,492]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -26.21, 'wind_speed': 16.5, 'humidity': 56.31}, {'city': 'Vancouver', 'temperature': 24.52, 'wind_speed': 21.34, 'humidity': 45.57}]
[2024-02-06 05:47:28,496]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 29.4, 'wind_speed': 4.83, 'humidity': 36.28}, {'city': 'Vancouver', 'temperature': -1.44, 'wind_speed': 27.21, 'humidity': 89.3}]
[2024-02-06 05:47:33,508]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -18.89, 'wind_speed': 48.07, 'humidity': 27.29}, {'city': 'Vancouver', 'temperature': 15.09, 'wind_speed': 2.13, 'humidity': 46.54}]
[2024-02-06 05:47:38,516]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 21.83, 'wind_speed': 43.78, 'humidity': 40.55}, {'city': 'Vancouver', 'temperature': 7.6, 'wind_speed': 32.55, 'humidity': 69.63}]
[2024-02-06 05:47:43,520]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -17.31, 'wind_speed': 21.26, 'humidity': 31.51}, {'city': 'Vancouver', 'temperature': 16.8, 'wind_speed': 42.69, 'humidity': 60.23}]
[2024-02-06 05:47:48,528]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -21.49, 'wind_speed': 13.99, 'humidity': 39.93}, {'city': 'Vancouver', 'temperature': 7.31, 'wind_speed': 2.64, 'humidity': 70.3}]
[2024-02-06 05:47:53,532]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 18.34, 'wind_speed': 39.11, 'humidity': 42.99}, {'city': 'Vancouver', 'temperature': 21.14, 'wind_speed': 26.78, 'humidity': 45.02}]
[2024-02-06 05:47:58,536]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -27.77, 'wind_speed': 1.34, 'humidity': 57.22}, {'city': 'Vancouver', 'temperature': 3.96, 'wind_speed': 11.04, 'humidity': 75.59}]
[2024-02-06 05:48:03,562]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -6.11, 'wind_speed': 26.89, 'humidity': 32.78}, {'city': 'Vancouver', 'temperature': 14.02, 'wind_speed': 16.51, 'humidity': 52.47}]
[2024-02-06 05:48:08,572]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 15.84, 'wind_speed': 13.07, 'humidity': 37.04}, {'city': 'Vancouver', 'temperature': -6.45, 'wind_speed': 39.66, 'humidity': 48.43}]
[2024-02-06 05:48:13,576]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -23.24, 'wind_speed': 21.73, 'humidity': 46.83}, {'city': 'Vancouver', 'temperature': 6.27, 'wind_speed': 30.09, 'humidity': 42.54}]
[2024-02-06 05:48:18,580]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 16.86, 'wind_speed': 48.28, 'humidity': 67.12}, {'city': 'Vancouver', 'temperature': -5.07, 'wind_speed': 25.27, 'humidity': 97.1}]
[2024-02-06 05:48:23,584]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 24.11, 'wind_speed': 15.53, 'humidity': 55.1}, {'city': 'Vancouver', 'temperature': -0.11, 'wind_speed': 47.35, 'humidity': 30.3}]
[2024-02-06 05:48:28,588]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -11.15, 'wind_speed': 36.09, 'humidity': 63.42}, {'city': 'Vancouver', 'temperature': 6.37, 'wind_speed': 35.03, 'humidity': 45.32}]
[2024-02-06 05:48:33,592]-[INFO]-#[{'city': 'Winnipeg', 'temperature': -7.5, 'wind_speed': 6.32, 'humidity': 55.44}, {'city': 'Vancouver', 'temperature': 21.02, 'wind_speed': 23.24, 'humidity': 31.5}]
[2024-02-06 05:48:38,596]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 1.79, 'wind_speed': 6.45, 'humidity': 34.1}, {'city': 'Vancouver', 'temperature': -6.35, 'wind_speed': 3.17, 'humidity': 67.7}]
[2024-02-06 05:48:43,600]-[INFO]-#[{'city': 'Winnipeg', 'temperature': 12.35, 'wind_speed': 17.25, 'humidity': 32.78}, {'city': 'Vancouver', 'temperature': 17.78, 'wind_speed': 2.91, 'humidity': 51.38}]
